red,1,3,10
red,2,16,13
red,3,35,20
red,4,49,36
red,5,72,51
red,6,83,67
red,7,90,84
red,8,95,97
red,9,101,109
red,10,106,121
red,11,119,148
red,12,130,159
red,13,140,176
red,14,148,193
red,15,154,209
red,16,169,220
red,17,169,241
red,18,177,254
red,19,193,262
red,20,200,266
red,21,218,273
red,22,247,283
red,23,261,289
red,24,286,293
red,25,313,294
red,26,324,309
red,27,337,340
blue,1,1,128
blue,2,15,136
blue,3,24,139
blue,4,30,146
blue,5,42,156
blue,6,59,162
blue,7,66,157
blue,8,79,144
blue,9,105,141
blue,10,119,148
blue,11,143,138
blue,12,160,124
blue,13,184,126
blue,14,206,128
blue,15,230,128
blue,16,244,147
blue,17,271,145
blue,18,296,166
blue,19,312,175
blue,20,325,189
blue,21,345,208
blue,22,355,220
blue,23,356,253
green,1,226,116
green,2,230,128
green,3,235,149
green,4,237,164
green,5,232,182
green,6,226,208
green,7,221,223
green,8,211,238
green,9,199,256
green,10,200,266
green,11,195,285
green,12,190,304
green,13,174,331
green,14,166,351
green,15,166,364
green,16,168,373
